grid_id,flooded,pred_class,result_type
3830,0,0,True Negative
3893,0,0,True Negative
3519,0,0,True Negative
973,0,0,True Negative
509,0,0,True Negative
4526,1,0,False Negative
3011,0,0,True Negative
1991,0,1,False Positive
2181,0,0,True Negative
2196,0,0,True Negative
1807,0,0,True Negative
1177,0,0,True Negative
4064,0,0,True Negative
2736,0,0,True Negative
4207,0,0,True Negative
1780,0,0,True Negative
1938,0,1,False Positive
1666,0,0,True Negative
728,0,0,True Negative
1786,1,0,False Negative
3242,0,0,True Negative
2393,0,0,True Negative
4392,0,0,True Negative
3318,0,0,True Negative
3965,0,0,True Negative
2506,0,0,True Negative
2797,0,0,True Negative
2944,0,0,True Negative
525,0,0,True Negative
4520,0,1,False Positive
2723,0,0,True Negative
4055,0,0,True Negative
1002,0,0,True Negative
3079,0,0,True Negative
769,0,0,True Negative
4396,0,0,True Negative
2040,1,0,False Negative
3990,0,0,True Negative
3920,0,0,True Negative
2968,0,0,True Negative
1590,0,0,True Negative
4525,0,0,True Negative
3050,1,0,False Negative
1843,0,0,True Negative
4511,0,0,True Negative
4544,0,0,True Negative
689,0,0,True Negative
2176,1,1,True Positive
447,0,1,False Positive
531,0,0,True Negative
2307,0,0,True Negative
4043,0,0,True Negative
3384,0,0,True Negative
1052,1,1,True Positive
2708,0,0,True Negative
389,0,0,True Negative
1261,0,0,True Negative
4411,0,0,True Negative
401,0,0,True Negative
657,0,0,True Negative
640,0,0,True Negative
2564,0,0,True Negative
179,0,0,True Negative
3846,0,0,True Negative
3402,0,0,True Negative
696,0,0,True Negative
3974,0,0,True Negative
4308,0,0,True Negative
4263,0,0,True Negative
3871,0,0,True Negative
4060,0,0,True Negative
2056,0,0,True Negative
1322,0,0,True Negative
770,0,0,True Negative
4607,0,0,True Negative
3262,0,0,True Negative
3326,0,0,True Negative
963,0,0,True Negative
104,0,0,True Negative
3381,0,0,True Negative
3267,0,0,True Negative
3118,1,1,True Positive
1325,0,0,True Negative
3809,0,0,True Negative
2325,1,1,True Positive
1936,0,0,True Negative
1775,0,0,True Negative
3983,0,0,True Negative
3661,0,0,True Negative
2504,0,0,True Negative
1183,0,0,True Negative
3447,0,0,True Negative
1983,1,1,True Positive
1911,0,0,True Negative
2584,0,0,True Negative
3133,0,0,True Negative
2578,0,0,True Negative
910,0,0,True Negative
3379,0,0,True Negative
3113,0,0,True Negative
3055,1,0,False Negative
1932,1,0,False Negative
446,0,0,True Negative
1871,0,0,True Negative
2400,0,0,True Negative
3591,0,0,True Negative
1095,0,0,True Negative
3715,0,0,True Negative
4242,0,0,True Negative
375,0,0,True Negative
3567,0,0,True Negative
1198,0,0,True Negative
3196,0,0,True Negative
4366,0,0,True Negative
1644,0,0,True Negative
4448,0,0,True Negative
3598,0,0,True Negative
1504,0,0,True Negative
1724,0,0,True Negative
1104,0,0,True Negative
3126,0,0,True Negative
907,0,0,True Negative
3213,0,0,True Negative
399,0,0,True Negative
4164,0,0,True Negative
2762,0,0,True Negative
4301,0,0,True Negative
3500,0,0,True Negative
3495,0,0,True Negative
3841,0,0,True Negative
1798,0,0,True Negative
706,0,0,True Negative
4323,0,0,True Negative
3170,0,0,True Negative
2190,0,0,True Negative
2942,0,0,True Negative
2377,1,0,False Negative
1726,0,0,True Negative
3331,0,0,True Negative
4374,0,0,True Negative
1727,0,0,True Negative
385,1,1,True Positive
3870,0,0,True Negative
2916,0,0,True Negative
2693,0,0,True Negative
1053,1,1,True Positive
3102,0,0,True Negative
4436,0,0,True Negative
3536,0,0,True Negative
2962,0,0,True Negative
1192,0,0,True Negative
2739,0,0,True Negative
3930,0,0,True Negative
4437,0,0,True Negative
2977,1,1,True Positive
724,0,0,True Negative
3874,1,0,False Negative
4609,0,0,True Negative
3069,0,0,True Negative
1533,0,0,True Negative
3980,0,0,True Negative
3517,0,0,True Negative
1001,0,0,True Negative
4379,0,0,True Negative
3396,0,0,True Negative
2641,0,0,True Negative
4113,0,0,True Negative
2319,1,0,False Negative
4059,0,0,True Negative
1245,1,1,True Positive
4099,0,0,True Negative
4208,0,0,True Negative
1251,0,0,True Negative
2508,0,0,True Negative
1184,0,0,True Negative
2202,0,0,True Negative
2997,0,0,True Negative
3798,0,0,True Negative
975,0,0,True Negative
3781,0,0,True Negative
2663,0,0,True Negative
3332,0,0,True Negative
3174,1,0,False Negative
3968,0,0,True Negative
903,0,0,True Negative
3540,0,0,True Negative
3231,0,0,True Negative
1998,0,0,True Negative
3266,0,0,True Negative
3635,0,0,True Negative
4309,0,0,True Negative
4454,0,0,True Negative
3526,0,0,True Negative
888,0,0,True Negative
1459,0,0,True Negative
1874,0,0,True Negative
1604,0,0,True Negative
2656,0,0,True Negative
3590,1,0,False Negative
2306,0,0,True Negative
466,0,0,True Negative
826,0,0,True Negative
1112,0,1,False Positive
4373,0,0,True Negative
2326,0,0,True Negative
3560,0,0,True Negative
3098,0,0,True Negative
1378,0,0,True Negative
2655,0,0,True Negative
1028,0,0,True Negative
1393,0,0,True Negative
2450,0,0,True Negative
4509,0,0,True Negative
2384,0,0,True Negative
441,0,0,True Negative
3898,0,0,True Negative
3872,0,0,True Negative
1102,0,0,True Negative
737,0,0,True Negative
642,0,0,True Negative
